ID,Year,Month,Day,Tsunami_Event,Earthquake_Event,Name,Location,Country,Latitude,Longitude,Elevation,Type,VEI,Agent,Deaths,Death_Description,Missing,Missing_Description,Injuries,Injuries_Description,Damage ,Damage_Description,Houses_Destroyed,Houses_Destroyed_Description,Total_Deaths,Total_Death_Description,Total_Missing,Total_Missing_Description,Total_Injuries,Total_Injuries_Description,Total_Damage,Total_Damage_Description,Total_Houses_Destroyed,Total_Houses_Destroyed_Description
1,46,,,21,,Santorini,Greece,Greece,36.404,25.396,329,Shield volcano,3,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,50,,,,,Ambrym,Vanuatu-SW Pacific,Vanuatu,-16.25,168.12,1334,Pyroclastic shield,6,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,60,,,,,Bona-Churchill,Alaska-E,United States,61.38,-141.75,5005,Stratovolcano,6,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,79,8,25,3093,58,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,5,"P,T",2100,4,0,,0,,0,0,0,0,2100,4,0,0,0,0,0,0,0,
5,200,,,,,"Arhab, Harra of",Arabia-S,Yemen,15.63,44.08,3100,Volcanic field,,,0,,0,,0,,0,1,0,0,0,0,0,0,0,0,0,1,0,
6,233,,,,,Taupo,New Zealand,New Zealand,-38.82,176,760,Caldera,6,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,240,,,,,Ksudach,Kamchatka,Russia,51.8,157.53,1079,Stratovolcano,6,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,350,,,,,Augustine,Alaska-SW,United States,59.37,-153.42,1252,Lava dome,,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,416,,,39,,Krakatau,Indonesia,Indonesia,-6.102,105.423,813,Caldera,,W,0,1,0,,0,,0,1,0,0,0,3,0,0,0,0,0,4,0,
10,450,,,,,Ilopango,El Salvador,El Salvador,13.672,-89.053,450,Caldera,6,,30000,4,0,,0,,0,0,0,0,30000,4,0,0,0,0,0,0,0,
11,500,,,,,"Arhab, Harra of",Arabia-S,Yemen,15.63,44.08,3100,Volcanic field,,,0,,0,,0,,0,1,0,0,0,0,0,0,0,0,0,1,0,
12,590,,,,,San Salvador,El Salvador,El Salvador,13.736,-89.286,1893,Stratovolcano,,,0,1,0,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,
13,640,,,,,"Uwayrid, Harrat",Arabia-W,Saudi Arabia,27.08,37.25,1900,Volcanic field,2,T,0,1,0,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,
14,653,,,,,Dakataua,New Britain-SW Pac,Papua New Guinea,-5.056,150.108,400,Caldera,6,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,683,,,,,Rabaul,New Britain-SW Pac,Papua New Guinea,-4.271,152.203,688,Pyroclastic shield,6,,0,,0,,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,
16,710,,,,,Pago,New Britain-SW Pac,Papua New Guinea,-5.58,150.52,742,Caldera,6,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,764,,,,,Sakura-jima,Kyushu-Japan,Japan,31.58,130.67,1117,Stratovolcano,4,"T,L",80,2,0,,0,,0,0,0,0,80,2,0,0,0,0,0,0,0,
18,766,7,20,61,7341,Sakura-jima,Kyushu-Japan,Japan,31.58,130.67,1117,Stratovolcano,3,,0,3,0,,0,,0,0,0,0,0,3,0,0,0,0,0,0,0,
19,787,,,,,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,3,,0,1,0,,0,,0,1,0,0,0,1,0,0,0,0,0,1,0,
20,847,,,,,Bona-Churchill,Alaska-E,United States,61.38,-141.75,5005,Stratovolcano,6,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,920,,,,,Katla,Iceland-S,Iceland,63.63,-19.05,1512,Subglacial volcano,4,,0,,0,,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,
22,930,,,,,Ceboruco,Mexico,Mexico,21.125,-104.508,2280,Stratovolcano,6,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
23,934,,,,,Katla,Iceland-S,Iceland,63.63,-19.05,1512,Subglacial volcano,4,,0,,0,,0,,0,1,0,0,0,0,0,0,0,0,0,1,0,
24,946,,,,,Changbaishan,China-E,North Korea,41.98,128.08,2744,Stratovolcano,7,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,950,,,,,Katla,Iceland-S,Iceland,63.63,-19.05,1512,Subglacial volcano,,,0,,0,,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,
26,1050,,,3102,,Santorini,Greece,Greece,36.404,25.396,329,Shield volcano,,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,1104,10,15,,,Hekla,Iceland-S,Iceland,63.98,-19.7,1491,Stratovolcano,5,,0,,0,,0,,0,1,0,0,0,0,0,0,0,0,0,1,0,
28,1151,,,,,Krisuvik,Iceland-SW,Iceland,63.93,-22.1,379,Crater rows,1,,0,,0,,0,,0,1,0,0,0,0,0,0,0,0,0,1,0,
29,1158,1,19,,,Hekla,Iceland-S,Iceland,63.98,-19.7,1491,Stratovolcano,4,,0,,0,,0,,0,1,0,0,0,0,0,0,0,0,0,1,0,
30,1169,2,4,2852,421,Etna,Italy,Italy,37.734,15.004,3350,Stratovolcano,,"S,W",0,,0,,0,,0,0,0,0,16000,4,0,0,0,0,0,4,0,
31,1169,2,11,3107,,Etna,Italy,Italy,37.734,15.004,3350,Stratovolcano,,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
32,1177,,,,,Katla,Iceland-S,Iceland,63.63,-19.05,1512,Subglacial volcano,3,,0,,0,,0,,0,1,0,0,0,0,0,0,0,0,0,1,0,
33,1206,12,4,,,Hekla,Iceland-S,Iceland,63.98,-19.7,1491,Stratovolcano,2,,0,,0,,0,,0,1,0,0,0,0,0,0,0,0,0,1,0,
34,1250,,,,,Fentale,Africa-NE,Ethiopia,8.975,39.93,2007,Stratovolcano,,,0,,0,,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,
35,1262,,,,,Katla,Iceland-S,Iceland,63.63,-19.05,1512,Subglacial volcano,3,F,0,1,0,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,
36,1280,,,,,Quilotoa,Ecuador,Ecuador,-0.85,-78.9,3914,Caldera,6,,0,,0,,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,
37,1300,7,11,,,Hekla,Iceland-S,Iceland,63.98,-19.7,1491,Stratovolcano,4,,0,,0,,0,,0,0,0,0,600,3,0,0,0,0,0,0,0,
38,1302,,,,,Ischia,Italy,Italy,40.73,13.897,789,Complex volcano,,,0,1,0,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,
39,1311,1,18,,,Katla,Iceland-S,Iceland,63.63,-19.05,1512,Subglacial volcano,4,F,0,2,0,,0,,0,0,0,0,0,2,0,0,0,0,0,0,0,
40,1311,,,,,Kelut,Java,Indonesia,-7.93,112.308,1731,Stratovolcano,3,,0,1,0,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,
41,1329,6,28,3112,9973,Etna,Italy,Italy,37.734,15.004,3350,Stratovolcano,3,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,1
42,1329,7,,,,Etna,Italy,Italy,37.734,15.004,3350,Stratovolcano,1,I,0,3,0,,0,,0,0,0,0,0,3,0,0,0,0,0,0,0,
43,1331,12,,,,Aso,Kyushu-Japan,Japan,32.88,131.1,1592,Caldera,2,,0,1,0,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,
44,1334,,,,,Kelut,Java,Indonesia,-7.93,112.308,1731,Stratovolcano,3,,0,1,0,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,
45,1341,5,19,,,Hekla,Iceland-S,Iceland,63.98,-19.7,1491,Stratovolcano,3,,0,,0,,0,,0,1,0,0,0,0,0,0,0,0,0,1,0,
46,1357,,,,,Katla,Iceland-S,Iceland,63.63,-19.05,1512,Subglacial volcano,4,,0,,0,,0,,0,1,0,0,0,0,0,0,0,0,0,1,0,
47,1362,6,5,,,Oraefajokull,Iceland-SE,Iceland,64,-16.65,2119,Stratovolcano,5,"T,F",220,3,0,,0,,0,0,0,0,220,3,0,0,0,0,0,0,0,
48,1375,,,,,"Chichon, El",Mexico,Mexico,17.36,-93.228,1150,Tuff cone,5,M,0,2,0,,0,,0,0,0,0,0,2,0,0,0,0,0,0,0,
49,1376,,,,,Kelut,Java,Indonesia,-7.93,112.308,1731,Stratovolcano,3,,0,1,0,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,
50,1385,,,,,Kelut,Java,Indonesia,-7.93,112.308,1731,Stratovolcano,3,,0,1,0,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,
